Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites short tag,CanonSites short tag,CrystalformSites short tag,Quatassemblies short tag,Crystalforms short tag,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] P2 Wave 1,[Other] P3 compound design,[Other] New,[Other] Active site fragment,[Other] S1 site,[Other] S1' site,[Other] S2 site,[Other] S3 site,[Other] S5 site,[Other] Covalent,[Series] Piperidine series,[Other] Sun-roof open,[Other] Fragment Screen,[Other] upload_1 2024-12-06,[Other] S4 site,[Other] Bogyo covalents,[Series] Indazole series,[Other] upload_061224,[Other] upload_2 2024-12-12
A0379a,A71EV2A-x0379_A_147_v1,A71EV2A-x0379,Z56960214,CNCc1ccc(C(F)(F)F)cc1,A71EV2A-x0379/A/38/A_v1,False,11a - A71EV2A-x0379/A/147,11 - A71EV2A-x0379/A/147/1,F1ah - A71EV2A-x0379/A/147/1,A1 - monomer,F1 - A71/2A/open,11a - A0379/A/147,11 - A0379/A/147/1,F1ah - A0379/A/147,A1 - monomer,F1 - A71/2A/open,11a - A0379/A/147,11 - A0379/A/147/1,F1ah - A0379/A/147,A1 - monomer,F1 - A71/2A/open,A0379a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0396a,A71EV2A-x0396_A_147_v1,A71EV2A-x0396,Z57478994,COCc1nnc(N)s1,A71EV2A-x0396/A/31/A_v1,False,12a - A71EV2A-x0396/A/147,12 - A71EV2A-x0396/A/147/1,F1ai - A71EV2A-x0396/A/147/1,A1 - monomer,F1 - A71/2A/open,12a - A0396/A/147,12 - A0396/A/147/1,F1ai - A0396/A/147,A1 - monomer,F1 - A71/2A/open,12a - A0396/A/147,12 - A0396/A/147/1,F1ai - A0396/A/147,A1 - monomer,F1 - A71/2A/open,A0396a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0412a,A71EV2A-x0412_A_147_v1,A71EV2A-x0412,Z68639747,CCn1c(NC(C)=O)nc2ccccc21,A71EV2A-x0412/A/119/A_v1,False,13a - A71EV2A-x0412/A/147,13 - A71EV2A-x0412/A/147/1,F1aj - A71EV2A-x0412/A/147/1,A1 - monomer,F1 - A71/2A/open,13a - A0412/A/147,13 - A0412/A/147/1,F1aj - A0412/A/147,A1 - monomer,F1 - A71/2A/open,13a - A0412/A/147,13 - A0412/A/147/1,F1aj - A0412/A/147,A1 - monomer,F1 - A71/2A/open,A0412a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0351c,A71EV2A-x0351_A_201_v1,A71EV2A-x0351,Z53860899,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,A71EV2A-x0432/A/61/A_v1,False,8a - A71EV2A-x0432/A/147,8 - A71EV2A-x0432/A/147/1,F2ae - A71EV2A-x0351/A/201/1,A1 - monomer,F2 - A71/2A/open/small/cell,8a - A0432/A/147,8 - A0432/A/147/1,F2ae - A0351/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,8a - A0432/A/147,8 - A0432/A/147/1,F2ae - A0351/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,A0351c,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0432a,A71EV2A-x0432_A_147_v1,A71EV2A-x0432,Z760031264,Nc1ccc(-c2ncno2)cc1,A71EV2A-x0432/A/61/A_v1,False,8a - A71EV2A-x0432/A/147,8 - A71EV2A-x0432/A/147/1,F2ae - A71EV2A-x0351/A/201/1,A1 - monomer,F2 - A71/2A/open/small/cell,8a - A0432/A/147,8 - A0432/A/147/1,F2ae - A0351/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,8a - A0432/A/147,8 - A0432/A/147/1,F2ae - A0351/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,A0432a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0486a,A71EV2A-x0486_A_147_v1,A71EV2A-x0486,Z1148165337,CN(C)C(=O)Cn1ncc2ccccc21,A71EV2A-x0486/A/143/A_v1,False,6a - A71EV2A-x0486/A/147,6 - A71EV2A-x0486/A/147/1,F1ac - A71EV2A-x0486/A/147/1,A1 - monomer,F1 - A71/2A/open,6a - A0486/A/147,6 - A0486/A/147/1,F1ac - A0486/A/147,A1 - monomer,F1 - A71/2A/open,6a - A0486/A/147,6 - A0486/A/147/1,F1ac - A0486/A/147,A1 - monomer,F1 - A71/2A/open,A0486a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0309a,A71EV2A-x0309_A_147_v1,A71EV2A-x0309,Z1685106505,Cn1ccnc1-c1noc(C2CCC2)n1,A71EV2A-x0486/A/143/A_v1,False,6a - A71EV2A-x0486/A/147,6 - A71EV2A-x0486/A/147/1,F1ac - A71EV2A-x0486/A/147/1,A1 - monomer,F1 - A71/2A/open,6a - A0486/A/147,6 - A0486/A/147/1,F1ac - A0486/A/147,A1 - monomer,F1 - A71/2A/open,6a - A0486/A/147,6 - A0486/A/147/1,F1ac - A0486/A/147,A1 - monomer,F1 - A71/2A/open,A0309a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0608a,A71EV2A-x0608_A_147_v1,A71EV2A-x0608,Z2064898339,Cc1ccc(CC(=O)NC[C@@H]2CCCO2)cc1,A71EV2A-x0486/A/143/A_v1,False,6a - A71EV2A-x0486/A/147,6 - A71EV2A-x0486/A/147/1,F1ac - A71EV2A-x0486/A/147/1,A1 - monomer,F1 - A71/2A/open,6a - A0486/A/147,6 - A0486/A/147/1,F1ac - A0486/A/147,A1 - monomer,F1 - A71/2A/open,6a - A0486/A/147,6 - A0486/A/147/1,F1ac - A0486/A/147,A1 - monomer,F1 - A71/2A/open,A0608a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0239a,A71EV2A-x0239_A_147_v1,A71EV2A-x0239,Z438067480,CCC(=O)NCc1nnc2n1CCCC2,A71EV2A-x0486/A/143/A_v1,False,6a - A71EV2A-x0486/A/147,6 - A71EV2A-x0486/A/147/1,F1ac - A71EV2A-x0486/A/147/1,A1 - monomer,F1 - A71/2A/open,6a - A0486/A/147,6 - A0486/A/147/1,F1ac - A0486/A/147,A1 - monomer,F1 - A71/2A/open,6a - A0486/A/147,6 - A0486/A/147/1,F1ac - A0486/A/147,A1 - monomer,F1 - A71/2A/open,A0239a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0488a,A71EV2A-x0488_A_147_v1,A71EV2A-x0488,Z1154747269,O=c1ccncn1CCO,A71EV2A-x0488/A/68/A_v1,False,7b - A71EV2A-x0488/A/147,7 - A71EV2A-x0488/A/147/1,F1ad - A71EV2A-x0488/A/147/1,A1 - monomer,F1 - A71/2A/open,7b - A0488/A/147,7 - A0488/A/147/1,F1ad - A0488/A/147,A1 - monomer,F1 - A71/2A/open,7b - A0488/A/147,7 - A0488/A/147/1,F1ad - A0488/A/147,A1 - monomer,F1 - A71/2A/open,A0488a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
