hippo_id,smiles,inchikey,required_amount_mg,quoted_amount,quote_currency,quote_price,quote_lead_time_days,quote_supplier,quote_catalogue,quote_entry,quoted_smiles,quoted_purity,num_reaction_dependencies,num_product_dependencies,reaction_dependencies,product_dependencies,chemistry_types,scaffold_series
64553,CCC(=O)c1ccc(O)cc1,RARSHUDCJQSEFJ-UHFFFAOYSA-N,14.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-21481,CCC(=O)c1ccc(O)cc1,,14,14,"[62585, 62587, 62592, 62600, 62756, 62972, 62981, 63115, 63125, 63242, 63273, 64352, 85648, 87636]","[93, 64590, 64592, 64598, 64612, 64617, 64791, 64992, 65004, 65154, 65159, 65271, 65303, 66379]",Williamson_ether_synthesis,"[93, 240, 241]"
87346,CCBr,RDHPKYGYEGBMSE-UHFFFAOYSA-N,6.0,,,,,,,,,,6,6,"[85247, 85648, 85683, 85741, 85763, 85808]","[93, 236, 240, 82252, 82256, 82273]",Williamson_ether_synthesis,"[240, 241]"
71708,O=C(CCl)c1ccc(O)cc1,PPPIAEPDQPCIIM-UHFFFAOYSA-N,14.0,50.0,EUR,67.0,2.0,Enamine,EU stock,EN300-14665,O=C(CCl)c1ccc(O)cc1,,14,14,"[69922, 69923, 69928, 69935, 69967, 69993, 70008, 70009, 70013, 70017, 70090, 70191, 85683, 87661]","[236, 71718, 71719, 71725, 71730, 71732, 71762, 71787, 71802, 71803, 71807, 71811, 71882, 71983]",Williamson_ether_synthesis,"[236, 240, 241]"
82226,CC(=O)c1ccc(O)cc1,TXFPEBPIARQUIG-UHFFFAOYSA-N,15.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-17800,CC(=O)c1ccc(O)cc1,,15,15,"[79790, 79794, 79795, 79820, 79823, 79967, 80272, 80361, 85247, 85433, 85817, 86555, 86568, 87314, 87586]","[240, 82232, 82234, 82239, 82240, 82278, 82281, 82334, 82412, 82415, 82416, 82651, 82652, 82735, 82824]",Williamson_ether_synthesis,"[240, 241]"
71591,CC(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,8.0,800.0,,,0.0,Stock,,EN300-18074,,0.95,8,8,"[74018, 92314, 92332, 92419, 98647, 98673, 98683, 104849]","[242, 243, 76100, 93218, 93322, 99651, 99664, 105901]",Amidation,"[95, 242, 243, 244, 245]"
93187,CC(=O)c1ccc(N)cc1,GPRYKVSEZCQIHD-UHFFFAOYSA-N,12.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-17971,CC(=O)c1ccc(N)cc1,,12,12,"[92314, 92325, 92336, 92340, 92343, 92394, 92435, 92562, 92575, 92680, 93182, 93330]","[242, 93206, 93225, 93229, 93232, 93283, 93346, 93473, 93486, 93594, 94118, 94266]",Amidation,"[242, 243]"
99613,Nc1ccc(C=O)cc1,VATYWCRQDJIRAI-UHFFFAOYSA-N,12.0,100.0,EUR,99.0,10.0,Enamine,Global catalog,EN300-85865,Nc1ccc(C=O)cc1,,12,12,"[98647, 98654, 98664, 98665, 98669, 98677, 98819, 98853, 98854, 99398, 100094, 100110]","[243, 99624, 99640, 99641, 99645, 99656, 99846, 99880, 99881, 100440, 101136, 101152]",Amidation,[243]
64552,CCI,HVTICUPFWKNHNG-UHFFFAOYSA-N,7.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-18902,CCI,,7,7,"[62572, 63070, 69918, 69919, 69920, 69921, 80153]","[64567, 65105, 71713, 71714, 71716, 71717, 82618]",Williamson_ether_synthesis,"[93, 236, 240]"
64566,CCC(=O)c1ccc(O)c(Cl)c1,SRTOCDALRUBACC-UHFFFAOYSA-N,10.0,50.0,EUR,35.0,2.0,Enamine,EU stock,EN300-1242090,CCC(=O)c1ccc(O)c(Cl)c1,,10,10,"[62572, 63018, 63603, 63745, 63843, 63951, 64155, 64271, 65128, 66991]","[64567, 65035, 65637, 65780, 65879, 65989, 66195, 66305, 67125, 68874]",Williamson_ether_synthesis,"[93, 240]"
64585,O=C1CCc2cc(O)ccc21,ZRKQOVXGDIZYDS-UHFFFAOYSA-N,14.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-156504,O=C1CCc2cc(O)ccc21,,14,14,"[62583, 62588, 62599, 62627, 62757, 62973, 62979, 63081, 63116, 63241, 63274, 64353, 85808, 87719]","[64589, 64593, 64611, 64618, 64654, 64792, 64993, 65002, 65122, 65155, 65270, 65304, 66380, 82273]",Williamson_ether_synthesis,"[93, 240, 241]"
64588,ClCCI,JTWWWQGSFTWWDL-UHFFFAOYSA-N,6.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-93168,ClCCI,,6,6,"[62583, 62585, 69923, 79820, 79899, 80215]","[64589, 64590, 71719, 82278, 82357, 82680]",Williamson_ether_synthesis,"[93, 236, 240, 241]"
64591,O=CCI,XQCWOAMYQRDOQY-UHFFFAOYSA-N,6.0,,,,,,,,,,6,6,"[62587, 62588, 69922, 79790, 79937, 79939]","[64592, 64593, 71718, 82234, 82395, 82397]",Williamson_ether_synthesis,"[93, 236, 240, 241]"
64597,BrCCI,HKQCJJOXYWQRFN-UHFFFAOYSA-N,7.0,,,,,,,,,,7,7,"[62592, 62627, 69928, 79795, 80040, 80055, 87734]","[64598, 64654, 71725, 82240, 82484, 82492, 89662]",Williamson_ether_synthesis,"[93, 236, 240, 241]"
64610,N#CCI,VODKOOOHHCAWFR-UHFFFAOYSA-N,6.0,100.0,EUR,18.0,10.0,Enamine,Global catalog,EN300-207724,N#CCI,,6,6,"[62599, 62600, 69935, 79794, 80014, 80016]","[64611, 64612, 71730, 82239, 82462, 82464]",Williamson_ether_synthesis,"[93, 236, 240, 241]"
87353,FCCBr,JTLAIKFGRHDNQM-UHFFFAOYSA-N,6.0,,,,,,,,,,6,6,"[85433, 87636, 87661, 87719, 87729, 88078]","[64617, 64618, 71732, 82232, 82418, 82431]",Williamson_ether_synthesis,"[93, 236, 240, 241]"
64790,CCCCI,KMGBZBJJOKUPIA-UHFFFAOYSA-N,13.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-19286,CCCCI,,13,13,"[62756, 62757, 63951, 68019, 70008, 70219, 70220, 70221, 70222, 79967, 80264, 80267, 83923]","[64791, 64792, 65989, 69827, 71802, 72011, 72012, 72013, 72014, 82416, 82727, 82730, 86058]",Williamson_ether_synthesis,"[93, 236, 240, 241]"
64991,NCCCI,FZSUKGFWZOUEJF-UHFFFAOYSA-N,12.0,50.0,EUR,62.0,2.0,Enamine,EU stock,EN300-142450,I.NCCCI,,12,12,"[62972, 62973, 63843, 68317, 69993, 70093, 70105, 70113, 70115, 80394, 80413, 84071]","[64992, 64993, 65879, 70106, 71787, 71885, 71897, 71905, 71907, 82857, 82876, 86206]",Williamson_ether_synthesis,"[93, 236, 240]"
65000,C=C(Cl)CI,BSQHVKZJTOVHBK-UHFFFAOYSA-N,12.0,50.0,EUR,97.0,2.0,Enamine,EU stock,EN300-736680,C=C(Cl)CI,,12,12,"[62979, 62981, 64155, 65871, 69967, 70293, 70298, 79823, 80695, 80710, 82128, 82698]","[65002, 65004, 66195, 67789, 71762, 72076, 72081, 82281, 82785, 82861, 84425, 84940]",Williamson_ether_synthesis,"[93, 236, 240, 241]"
64616,FCCI,LVYJIIRJQDEGBR-UHFFFAOYSA-N,7.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-316786,FCCI,,7,7,"[63018, 65330, 69962, 69963, 69964, 69965, 81415]","[65035, 67318, 71757, 71758, 71759, 71760, 83820]",Williamson_ether_synthesis,"[93, 236, 240]"
65104,O=C1CCCCc2cc(O)ccc21,LCEJOJCDTXCOCR-UHFFFAOYSA-N,9.0,50.0,EUR,88.0,2.0,Enamine,EU stock,EN300-3024155,O=C1CCCCc2cc(O)ccc21,,9,9,"[63070, 65330, 65871, 66810, 68019, 68317, 68483, 68497, 68829]","[65105, 67318, 67789, 68702, 69827, 70106, 70263, 70277, 70609]",Williamson_ether_synthesis,[93]
65121,C=C(Br)CI,QFTBPDJMDCDXSK-UHFFFAOYSA-N,13.0,100.0,EUR,144.0,10.0,Enamine,Global catalog,EN300-4251589,C=C(Br)CI,,13,13,"[63081, 63125, 64271, 66810, 70090, 70107, 70108, 70334, 80308, 80354, 83049, 90326, 90327]","[65122, 65159, 66305, 68702, 71882, 71899, 71900, 72115, 82771, 82817, 85247, 91717, 91718]",Williamson_ether_synthesis,"[93, 236, 240, 241]"
65153,N#CCCI,YYZBPKCINJVSGH-UHFFFAOYSA-N,12.0,50.0,EUR,20.0,2.0,Enamine,EU stock,EN300-269331,N#CCCI,,12,12,"[63115, 63116, 63745, 68497, 70013, 70158, 70160, 70166, 80539, 80541, 84387, 84583]","[65154, 65155, 65780, 70277, 71807, 71950, 71952, 71958, 83003, 83005, 86522, 86718]",Williamson_ether_synthesis,"[93, 236, 240]"
65269,CC=CCI,LOPHPAWGOMDGMA-UHFFFAOYSA-N,12.0,100.0,EUR,230.0,10.0,Enamine,Global catalog,EN300-137559,CC=CCI,,12,12,"[63241, 63242, 65128, 68483, 70017, 70571, 70586, 80460, 80461, 84369, 84371, 84561]","[65270, 65271, 67125, 70263, 71811, 72328, 72340, 82923, 82924, 86504, 86506, 86696]",Williamson_ether_synthesis,"[93, 236, 240]"
65302,C#CCCI,SGLSTFIXVDSVNV-UHFFFAOYSA-N,11.0,50.0,EUR,31.0,2.0,Enamine,EU stock,EN300-211423,C#CCCI,,11,11,"[63273, 63274, 63603, 68829, 70009, 70214, 70215, 70216, 80253, 80257, 84621]","[65303, 65304, 65637, 70609, 71803, 72006, 72007, 72008, 82716, 82720, 86756]",Williamson_ether_synthesis,"[93, 236, 240]"
66378,COCCCI,DFNCRJSFSDJOBT-UHFFFAOYSA-N,11.0,50.0,EUR,23.0,2.0,Enamine,EU stock,EN300-1719890,COCCCI,,11,11,"[64352, 64353, 66991, 70191, 70761, 70762, 70763, 70804, 80272, 83308, 83319]","[66379, 66380, 68874, 71983, 72517, 72518, 72519, 72561, 82735, 85498, 85509]",Williamson_ether_synthesis,"[93, 236, 240]"
71712,O=C(CCl)c1ccc(O)cc1O,PKYLMJSVVVYYRS-UHFFFAOYSA-N,17.0,100.0,EUR,91.0,10.0,Enamine,Global catalog,EN300-04971,O=C(CCl)c1ccc(O)cc1O,,17,17,"[69918, 69919, 69962, 69963, 70093, 70105, 70158, 70214, 70219, 70220, 70298, 70334, 70586, 70762, 70763, 84369, 84387]","[71713, 71714, 71757, 71758, 71885, 71897, 71950, 72006, 72011, 72012, 72081, 72115, 72340, 72518, 72519, 86504, 86522]",Williamson_ether_synthesis,"[236, 240]"
71715,O=C(CCl)c1ccc(O)c(O)c1,LWTJEJCZJFZKEL-UHFFFAOYSA-N,20.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-17297,O=C(CCl)c1ccc(O)c(O)c1,,20,20,"[69920, 69921, 69964, 69965, 70107, 70108, 70113, 70115, 70160, 70166, 70215, 70216, 70221, 70222, 70293, 70571, 70761, 70804, 82128, 84371]","[71716, 71717, 71759, 71760, 71899, 71900, 71905, 71907, 71952, 71958, 72007, 72008, 72013, 72014, 72076, 72328, 72517, 72561, 84425, 86506]",Williamson_ether_synthesis,"[236, 240]"
71686,O=C(O)C1CNC1,GFZWHAAOIVMHOI-UHFFFAOYSA-N,8.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-74879,O=C(O)C1CNC1,,8,8,"[73412, 93330, 94842, 96807, 100110, 104030, 104031, 106363]","[75493, 94266, 95794, 97770, 101152, 105072, 105073, 107428]",Amidation,"[237, 242, 243, 245]"
75067,Nc1ccc2c(c1)C(=O)C(Cl)=C(Cl)C2=O,LMCCTKIYIGDPME-UHFFFAOYSA-N,2.0,100.0,EUR,448.0,10.0,Enamine,Global catalog,EN300-9567278,Nc1ccc2c(c1)C(=O)C(Cl)=C(Cl)C2=O,,2,2,"[73412, 73540]","[75493, 75621]",Amidation,[237]
74585,O=C(O)C1CCCS1,MZOYMQRKTJRHGJ-UHFFFAOYSA-N,1.0,50.0,EUR,44.0,2.0,Enamine,EU stock,EN300-77924,O=C(O)C1CCCS1,,1,1,[73540],[75621],Amidation,[237]
76099,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,KGMGXJSYTKIRAE-UHFFFAOYSA-N,13.0,100.0,EUR,255.0,10.0,Enamine,Global catalog,EN300-204906,Cl.O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,,13,13,"[74018, 74170, 74172, 74185, 74188, 74237, 74270, 74274, 74296, 104736, 104768, 104775, 106698]","[76100, 76252, 76254, 76267, 76270, 76319, 76352, 76356, 76378, 105778, 105810, 105817, 107764]",Amidation,"[95, 244, 245]"
18681,NCC(=O)O,DHMQDGOQFOQNFH-UHFFFAOYSA-N,8.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-31218,Cl.NCC(=O)O,,8,8,"[74170, 92325, 92448, 93734, 98669, 99841, 99851, 105365]","[76252, 93206, 93359, 94670, 99645, 100883, 100893, 106424]",Amidation,"[95, 242, 243, 245]"
283,C=C(Cl)C(=O)O,SZTBMYHIYNGYIA-UHFFFAOYSA-N,8.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-147844,C=C(Cl)C(=O)O,,8,8,"[74172, 92394, 93477, 93861, 98854, 100857, 100858, 105484]","[76254, 93283, 94413, 94797, 99881, 101899, 101900, 106543]",Amidation,"[95, 242, 243, 245]"
45398,N#CCC(=O)O,MLIREBYILWEBDM-UHFFFAOYSA-N,8.0,800.0,,,0.0,Stock,,EN300-19926,,0.95,8,8,"[74185, 92562, 92801, 93955, 98819, 103500, 103501, 105996]","[76267, 93473, 93736, 94891, 99846, 104542, 104543, 107058]",Amidation,"[95, 242, 243, 245]"
62340,COCC(=O)O,RMIODHQZRUFFFF-UHFFFAOYSA-N,8.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-20233,COCC(=O)O,,8,8,"[74188, 92435, 93016, 94595, 98853, 103372, 103382, 105914]","[76270, 93346, 93952, 95547, 99880, 104415, 104425, 106976]",Amidation,"[95, 242, 243, 244, 245]"
18700,NC(CCl)C(=O)O,ASBJGPTTYPEMLP-UHFFFAOYSA-N,8.0,50.0,EUR,34.0,2.0,Enamine,EU stock,EN300-6759288,Cl.NC(CCl)C(=O)O,,8,8,"[74237, 93182, 94918, 96981, 100094, 104226, 104227, 106396]","[76319, 94118, 95870, 97944, 101136, 105268, 105269, 107461]",Amidation,"[95, 242, 243, 244, 245]"
74436,CC[S+]([O-])CC(=O)O,KXBITTYZPHWSOO-UHFFFAOYSA-N,1.0,50.0,EUR,66.0,2.0,Enamine,EU stock,EN300-177958,CCS(=O)CC(=O)O,,1,1,[74270],[76352],Amidation,[95]
74532,CC(O)C(F)C(=O)O,VGDFCROXTMRNIZ-UHFFFAOYSA-N,1.0,100.0,EUR,491.0,10.0,Enamine,Global catalog,EN300-188783,CC(O)C(F)C(=O)O,,1,1,[74274],[76356],Amidation,"[95, 244]"
45599,N#CC(=NO)C(=O)O,CNEFRTDDIMNTHC-UHFFFAOYSA-N,1.0,100.0,EUR,349.0,10.0,Enamine,Global catalog,EN300-143566,N#CC(=NO)C(=O)O,,1,1,[74296],[76378],Amidation,"[95, 244]"
82251,CC(=O)c1ccc(O)c(N)c1,OMLRRXLWJXURTK-UHFFFAOYSA-N,14.0,100.0,EUR,59.0,10.0,Enamine,Global catalog,EN300-126720,CC(=O)c1ccc(O)c(N)c1.Cl,,14,14,"[79939, 80016, 80055, 80215, 80257, 80264, 80308, 80413, 80461, 80541, 80710, 83308, 85763, 88078]","[82252, 82397, 82431, 82464, 82492, 82680, 82720, 82727, 82771, 82785, 82876, 82924, 83005, 85498]",Williamson_ether_synthesis,"[240, 241]"
