target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2,reactant-1-3,reactant-2-3,reaction-product-smiles-3,reaction-name-3,reaction-recipe-3,reaction-groupby-column-3,reactant-1-4,reactant-2-4,reaction-product-smiles-4,reaction-name-4,reaction-recipe-4,reaction-groupby-column-4
C181,1,,,,Cc1ccc(C=O)cc1C,Nc1ccc(N2CCNC(=O)C2)cn1,Cc1ccc(CNc2ccc(N3CCNC(=O)C3)cn2)cc1C,Reductive_amination,,,,,,,,,,,,,,,,,,,,
C139,1,,,,NCC(=O)O,Cc1nn(C)c(C)c1CC(=O)NC(CN)c1ccc2ccccc2c1,Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)CN)c1ccc2ccccc2c1,Amidation,,,,,,,,,,,,,,,,,,,,
C182,1,,,,O=C(O)C1CCNC1=O,c1ccc(CNC2CCCNC2)cc1,O=C1NCCC1C(=O)N1CCCC(NCc2ccccc2)C1,Amidation,,,,,,,,,,,,,,,,,,,,
C183,1,,,,O=C1NCCN1c1ccc(Br)cc1,NCc1ccc(C(F)(F)F)cc1,O=C1NCCN1c1ccc(NCc2ccc(C(F)(F)F)cc2)cc1,Buchwald-Hartwig_amination,,,,,,,,,,,,,,,,,,,,
C184,1,,,,O=C1NCCN1c1ccc(Br)cc1,NCc1cccc(F)c1,O=C1NCCN1c1ccc(NCc2cccc(F)c2)cc1,Buchwald-Hartwig_amination,,,,,,,,,,,,,,,,,,,,
C185,1,,,,Nc1ccc(N2CCNC(=O)C2)cn1,CSc1cccc(C=O)c1,CSc1cccc(CNc2ccc(N3CCNC(=O)C3)cn2)c1,Reductive_amination,,,,,,,,,,,,,,,,,,,,
C186,1,,,,Cn1nc(C2CCOCC2)cc1C(=O)O,O=C1CC(CO)CN1,Cn1nc(C2CCOCC2)cc1C(=O)OCC1CNC(=O)C1,Steglich_esterification,,,,,,,,,,,,,,,,,,,,
C187,1,,,,NCc1ccc(C(=O)O)cc1,Nc1c[nH]c2ccccc12,NCc1ccc(C(=O)Nc2c[nH]c3ccccc23)cc1,Amidation,,,,,,,,,,,,,,,,,,,,
C191,1,,,,COc1cncc(CCC(=O)O)c1,NC1CCNC1=O,COc1cncc(CCC(=O)NC2CCNC2=O)c1,Amidation,,,,,,,,,,,,,,,,,,,,
C192,1,,,,O=C(O)c1ccncc1F,O=C1NCCCC1CO,O=C(OCC1CCCNC1=O)c1ccncc1F,Steglich_esterification,,,,,,,,,,,,,,,,,,,,
C171,1,,,,N#CCC(=O)O,NC(=O)c1ccc(N)cn1,N#CCC(=O)Nc1ccc(C(N)=O)nc1,Amidation,,,,,,,,,,,,,,,,,,,,
C195,1,,,,N#CCC(=O)O,CCOC(=O)c1cc(N)n(C)n1,CCOC(=O)c1cc(NC(=O)CC#N)n(C)n1,Amidation,,,,,,,,,,,,,,,,,,,,
C196,1,,,,CC(C)(C)C(=O)Nc1ccc(C(=O)O)cn1,NC1(C(F)F)CCC1,CC(C)(C)C(=O)Nc1ccc(C(=O)NC2(C(F)F)CCC2)cn1,Amidation,,,,,,,,,,,,,,,,,,,,
C194,1,,,,CC(C)(C)C(=O)Nc1ccc(C(=O)O)cn1,CCC1CC(N)C1,CCC1CC(NC(=O)c2ccc(NC(=O)C(C)(C)C)nc2)C1,Amidation,,,,,,,,,,,,,,,,,,,,
C197,1,,,,N#CCC1CC(N)C1,CCCC(=O)NC1CCNCC1,CCCC(=O)NC1CCN(C(=O)NC2CC(CC#N)C2)CC1,Formation_of_urea_from_two_amines,,,,,,,,,,,,,,,,,,,,
C91,1,,,,O=C(O)CCl,Cc1nn(C)c(C)c1CC(=O)NC(CN)c1ccc2ccccc2c1,Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)CCl)c1ccc2ccccc2c1,Amidation,,,,,,,,,,,,,,,,,,,,
C92,1,,,,CC(CC(=O)O)C(F)(F)F,COc1cc(N)n(C)n1,COc1cc(NC(=O)CC(C)C(F)(F)F)n(C)n1,Amidation,,,,,,,,,,,,,,,,,,,,
C73,1,,,,COCC(=O)O,NC(=O)C1CCCNC1,COCC(=O)N1CCCC(C(N)=O)C1,Amidation,,,,,,,,,,,,,,,,,,,,
C93,1,,,,CCI,CCC(=O)c1ccc(O)cc1,CCOc1ccc(C(=O)CC)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,,,,,,,
C94,1,,,,CC(=O)O,CCC(=O)c1ccc(N)cc1,CCC(=O)c1ccc(NC(C)=O)cc1,Amidation,,,,,,,,,,,,,,,,,,,,
C236,1,,,,CCI,O=C(CCl)c1ccc(O)cc1,CCOc1ccc(C(=O)CCl)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,,,,,,,
C237,1,,,,CC(=O)O,Nc1ccc(C(=O)CCl)cc1,CC(=O)Nc1ccc(C(=O)CCl)cc1,Amidation,,,,,,,,,,,,,,,,,,,,
C238,1,,,,CC(=O)O,O=C(CCl)c1ccc2c(c1)CCN2,CC(=O)N1CCc2cc(C(=O)CCl)ccc21,Amidation,,,,,,,,,,,,,,,,,,,,
C95,1,,,,CC(=O)O,CCC(=O)c1ccc2c(c1)CCN2,CCC(=O)c1ccc2c(c1)CCN2C(C)=O,Amidation,,,,,,,,,,,,,,,,,,,,
C204,1,,,,Nc1ccccc1CS(N)(=O)=O,CC1(N)CCC1,CC1(NC(=O)Nc2ccccc2CS(N)(=O)=O)CCC1,Formation_of_urea_from_two_amines,,,,,,,,,,,,,,,,,,,,
C203,1,,,,Cn1cc(C(O)C(=O)O)cn1,N#CCC(=O)Nc1cccc(N)c1,Cn1cc(C(O)C(=O)Nc2cccc(NC(=O)CC#N)c2)cn1,Amidation,,,,,,,,,,,,,,,,,,,,
C240,1,,,,CCI,CC(=O)c1ccc(O)cc1,CCOc1ccc(C(C)=O)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,,,,,,,
C241,1,,,,CCBr,O=Cc1ccc(O)cc1,CCOc1ccc(C=O)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,,,,,,,
C240,1,,,,CC(=O)c1ccc(O)cc1,CCBr,CCOc1ccc(C(C)=O)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,,,,,,,
C93,1,,,,CCC(=O)c1ccc(O)cc1,CCBr,CCOc1ccc(C(=O)CC)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,,,,,,,
C236,1,,,,O=C(CCl)c1ccc(O)cc1,CCBr,CCOc1ccc(C(=O)CCl)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,,,,,,,
C242,1,,,,CC(=O)O,CC(=O)c1ccc(N)cc1,CC(=O)Nc1ccc(C(C)=O)cc1,Amidation,,,,,,,,,,,,,,,,,,,,
C244,1,,,,CC(=O)O,CC(=O)c1ccc2c(c1)CCN2,CC(=O)c1ccc2c(c1)CCN2C(C)=O,Amidation,,,,,,,,,,,,,,,,,,,,
