,name,smiles,required_amount,quoted_amount,price,lead_time,num_reactions
0,EN300-148497,CCCC(C#N)C(=O)O,15,50.0,212.0,5,6
1,EN300-232319,Cc1ccc(-n2nc(C(F)(F)F)cc2N)cc1C,10,50.0,162.0,5,1
2,EN300-185347,CC1(C(=O)Cl)CC1,11,50.0,42.0,5,2
3,Z1263529539,Cc1cnccc1N,10,10.0,91.2,5,1
4,EN300-110878,Cc1nccc(N)c1C,11,50.0,21.0,5,2
5,EN300-96746,NC(C(=O)O)C(F)(F)F,13,50.0,29.0,5,4
6,EN300-6486464,CCOC(=O)c1nn(C)c(N)c1Br,12,50.0,107.0,5,3
7,EN300-128862,O=C(Cl)C1CCCOC1,10,50.0,168.0,5,1
8,EN300-178036,Nc1cc(Cl)ncc1C=O,11,50.0,28.0,5,2
9,EN300-72730,CC(C#N)C(=O)O,15,50.0,51.0,5,6
10,Z385401380,Cn1nc(C(F)(F)F)cc1N,13,15.0,112.0,5,4
11,EN300-244378,CC1CCCC(C(=O)Cl)C1,13,50.0,174.0,5,4
12,EN300-111688,Cc1cnc(Br)cc1N,10,50.0,20.0,5,1
13,EN300-2008851,CC(O)(C(=O)O)C(F)(F)F,13,50.0,20.0,5,4
14,EN300-116709,CC(C)(C)c1cc(N)n(CC(=O)O)n1,14,50.0,202.0,5,5
15,EN300-124780,NC(C(=O)O)(C1CC1)C(F)(F)F,10,50.0,226.0,5,1
16,EN300-52907,CC(C)(C)c1cc(N)n(C(C)(C)C)n1,14,50.0,69.0,5,5
17,EN300-26658470,NCCCC(C(=O)O)C(F)(F)F,11,50.0,229.0,5,2
18,EN300-125298,CCCc1cc(N)n(C)n1,12,50.0,101.0,5,3
19,EN300-00113,N#CC(=Cc1ccc2c(c1)OCO2)C(=O)O,10,50.0,23.0,5,1
20,EN300-45139463,Cn1cc(N)c(C(F)(F)Cl)n1,11,50.0,226.0,5,2
21,EN300-135953,O=C(O)C(O)(CO)C(F)(F)F,13,50.0,282.0,5,4
22,EN300-141087,CC(C)n1nc2c(c1N)CCC2,12,50.0,70.0,5,3
23,EN300-06608,CCOc1ccc(/C=C(/C#N)C(=O)O)cc1,11,50.0,26.0,5,2
24,EN300-7353896,Cc1c(N)c(C(F)F)nn1C,10,50.0,218.0,5,1
25,EN300-393586,O=C(O)C(CO)C(F)(F)F,14,50.0,64.0,5,5
26,EN300-21059,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,10,500.0,19.0,5,1
27,EN300-12812081,CC(C)(C)n1nc(-c2ccc(F)cc2)cc1N,11,50.0,76.0,5,2
28,EN300-26707,O=C(O)CC(F)(F)F,11,250.0,19.0,5,2
29,EN300-109371,Cn1nc(C2CCC2)cc1N,16,50.0,45.0,5,7
