,name,smiles,required_amount,quoted_amount,price,lead_time,num_reactions
0,EN300-37373250,O=C(O)C(CBr)C(F)(F)F,20,50.0,202.0,5,1
1,EN300-27260,CC(C)(C)c1cc(N)n(CCO)n1,24,50.0,82.0,5,5
2,EN300-393586,O=C(O)C(CO)C(F)(F)F,23,50.0,64.0,5,4
3,EN300-27636,Cc1cc2n(n1)C(C(F)(F)F)CCN2,20,50.0,24.0,5,1
4,EN300-72730,CC(C#N)C(=O)O,27,50.0,51.0,5,8
5,Z1262044157,CC(C)(C)Cc1cc(NC(=O)Cn2cnnn2)[nH]n1,20,20.0,122.7,5,1
6,EN300-115408,CCC/C=C(/C#N)C(=O)O,23,50.0,179.0,5,4
7,EN300-12177685,CC(N)C(=O)Nc1cc(C(F)(F)F)[nH]n1,29,50.0,216.0,5,10
8,EN300-180188,O=C(O)C(F)C(F)(F)F,23,50.0,19.0,5,4
9,EN300-345176,CCc1nn(C)c(NC)c1N,23,50.0,174.0,5,4
10,EN300-124782,COCCCC(N)(C(=O)O)C(F)(F)F,20,50.0,182.0,5,1
11,EN300-231757,CCOC(=O)Cn1nc(C)cc1N,23,50.0,65.0,5,4
12,EN300-333348,O=C(Cl)C1CC(Cl)C1,23,50.0,282.0,5,4
13,EN300-155865,NCc1cnccc1N,21,50.0,229.0,5,2
14,EN300-26974813,Nc1cc(N)c(C(=O)O)cn1,23,50.0,205.0,5,4
15,EN300-143566,N#C/C(=N\O)C(=O)O,25,50.0,245.0,5,6
16,Z1262043224,CC(C)(C)Cc1cc(NC(=O)c2c[nH]nn2)[nH]n1,21,21.0,156.8,5,2
17,EN300-1149249,CC1(c2cc(N)[nH]n2)CC1,23,50.0,252.0,5,4
18,EN300-127042,CC1CC1C(=O)Cl,21,50.0,43.0,5,2
19,EN300-2008851,CC(O)(C(=O)O)C(F)(F)F,24,50.0,20.0,5,5
20,EN300-92101,COC(=O)c1cc(N)n(C)n1,20,50.0,71.0,5,1
21,EN300-115582,Cn1cc(N)c(C(F)(F)F)n1,20,50.0,38.0,5,1
22,EN300-06798,N#C/C(=C/c1ccc(Cl)c(Cl)c1)C(=O)O,20,50.0,22.0,5,1
23,EN300-2956216,Nc1n[nH]c2c1CCC2,20,50.0,53.0,5,1
