hippo_id,smiles,inchikey,required_amount_mg,quoted_amount,quote_currency,quote_price,quote_lead_time_days,quote_supplier,quote_catalogue,quote_entry,quoted_smiles,quoted_purity,num_reaction_dependencies,num_product_dependencies,reaction_dependencies,product_dependencies,chemistry_types,scaffold_series
122418,NCCc1cocn1,RWIPJFQIYWOQKH-UHFFFAOYSA-N,2.0,100.0,EUR,326.0,10.0,Enamine,Global catalog,EN300-37274749,Cl.Cl.NCCc1cocn1,,2,2,"[120398, 138256]","[122393, 124220]","Formation_of_urea_from_two_amines, Amidation","[122393, 124220]"
122428,c1ccc2c(c1)CCN2,LPAGFVYQRIESJQ-UHFFFAOYSA-N,1.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-19816,c1ccc2c(c1)CCN2,,1,1,[120398],[122393],Formation_of_urea_from_two_amines,[122393]
62341,NC(=O)C1CCCNC1,BVOCPVIXARZNQN-UHFFFAOYSA-N,10.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-18610,NC(=O)C1CCCNC1,,10,10,"[120461, 120467, 122037, 123223, 132234, 145435, 146520, 149387, 152190, 155991]","[122489, 122496, 124224, 124226, 124229, 124230, 124231, 124232, 124236, 124238]","Ester_amidation, Amidation","[124229, 124230]"
122542,COc1cccnc1CC(=O)O,OPKXCVNZKVPQFE-UHFFFAOYSA-N,1.0,50.0,EUR,74.0,2.0,Enamine,EU stock,EN300-191272,COc1cccnc1CC(=O)O.Cl,,1,1,[120461],[122489],Amidation,[124230]
122548,CSc1ccccc1CC(=O)O,PSRVZRJMWNFSIZ-UHFFFAOYSA-N,1.0,50.0,EUR,52.0,2.0,Enamine,EU stock,EN300-127131,CSc1ccccc1CC(=O)O,,1,1,[120467],[122496],Amidation,[122496]
125495,O=C(O)C1CCc2ccccc21,JBQMFBWTKWOSQX-UHFFFAOYSA-N,2.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-66970,O=C(O)C1CCc2ccccc21,,2,2,"[123223, 138256]","[124220, 124236]",Amidation,[124229]
153238,O=C(O)Cc1cc(Br)cc2ncsc12,NRKRESAYPIKAKI-UHFFFAOYSA-N,1.0,,,,,,,,,,1,1,[152190],[124224],Amidation,[124224]
157150,O=C(O)Cc1cc(Br)cc2ncoc12,HLIWEORKAGJLKZ-UHFFFAOYSA-N,1.0,,,,,,,,,,1,1,[155991],[124226],Amidation,[124226]
124239,O=C(O)Cc1ccccc1,WLJVXDMOQOGPHL-UHFFFAOYSA-N,3.0,,,,,,,,,,3,3,"[122037, 154277, 157479]","[124229, 124235, 124237]",Amidation,"[124229, 124235, 124237]"
150352,O=C(O)Cc1ccccn1,BPSNETAIJADFTO-UHFFFAOYSA-N,1.0,50.0,EUR,18.0,2.0,Enamine,EU stock,EN300-34537,Cl.O=C(O)Cc1ccccn1,,1,1,[149387],[124230],Amidation,[124230]
146197,O=C(O)C1CCOc2ccccc21,RGWHTTALQBHDGZ-UHFFFAOYSA-N,1.0,50.0,EUR,105.0,2.0,Enamine,EU stock,EN300-65938,O=C(O)C1CCOc2ccccc21,,1,1,[145435],[124231],Amidation,[124231]
133593,O=C(O)Cc1ccn[nH]1,NTVKSUPEUFXUGS-UHFFFAOYSA-N,1.0,50.0,EUR,26.0,2.0,Enamine,EU stock,EN300-71405,Cl.O=C(O)Cc1ccn[nH]1,,1,1,[132234],[124232],Amidation,[124232]
122500,ClCc1ncccn1,MSFVEEFXECBJPG-UHFFFAOYSA-N,1.0,100.0,EUR,19.0,10.0,Enamine,Global catalog,EN300-139231,Cl.ClCc1ncccn1,,1,1,[123773],[124233],Williamson_ether_synthesis,[124233]
126053,O=CNc1ccccc1O,DCGLLVNYKPKJDK-UHFFFAOYSA-N,1.0,,,,,,,,,,1,1,[123773],[124233],Williamson_ether_synthesis,[124233]
142016,O=CO,BDAGIHXWWSANSR-UHFFFAOYSA-N,1.0,,,,,,,,,,1,1,[140267],[124234],Amidation,[124234]
142017,NC(=O)c1cccc(Oc2ccccc2N)c1,GRBVUYUXBVRTJD-UHFFFAOYSA-N,1.0,,,,,,,,,,1,1,[140267],[124234],Amidation,[124234]
122538,NC(=O)C1CCCNCC1,FMOFOTVVSORNLD-UHFFFAOYSA-N,1.0,,,,,,,,,,1,1,[157479],[124235],Amidation,[124235]
122505,NC(=O)C1CCNC1,IQHXABCGSFAKPN-UHFFFAOYSA-N,1.0,50.0,EUR,33.0,2.0,Enamine,EU stock,EN300-70092,Cl.NC(=O)C1CCNC1,,1,1,[154277],[124237],Amidation,[124237]
147359,CC(C)(C)OC(=O)C(NC(=O)O)c1ccccc1,LHAOAJFLTQPLGV-UHFFFAOYSA-N,1.0,,,,,,,,,,1,1,[146520],[124238],Ester_amidation,[124238]
