,1_product_smiles
0,CSc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1
1,CSc1ccccc1CC(=O)N1CCC[C@@H](C(N)=O)C1
2,NC(=O)[C@]12C[C@@H]1CN(C(=O)[C@@H]1CSc3ccccc31)C2
3,NC(=O)[C@@]12C[C@@H]1CN(C(=O)[C@@H]1CSc3ccccc31)C2
4,NC(=O)[C@]12C[C@H]1CN(C(=O)[C@@H]1CSc3ccccc31)C2
5,NC(=O)[C@@]12C[C@H]1CN(C(=O)[C@@H]1CSc3ccccc31)C2
6,NC(=O)[C@]12C[C@@H]1CN(C(=O)[C@H]1CSc3ccccc31)C2
7,NC(=O)[C@@]12C[C@@H]1CN(C(=O)[C@H]1CSc3ccccc31)C2
8,NC(=O)[C@]12C[C@H]1CN(C(=O)[C@H]1CSc3ccccc31)C2
9,NC(=O)[C@@]12C[C@H]1CN(C(=O)[C@H]1CSc3ccccc31)C2
10,NC(=O)[C@@H]1CCCN(C(=O)[C@@H]2CSc3ccccc32)C1
11,NC(=O)[C@H]1CCCN(C(=O)[C@@H]2CSc3ccccc32)C1
12,NC(=O)[C@@H]1CCCN(C(=O)[C@H]2CSc3ccccc32)C1
13,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CSc3ccccc32)C1
14,NC(=O)[C@@H]1CCCN(C(=O)[C@@H]2CSc3ccccc32)C1
15,NC(=O)[C@H]1CCCN(C(=O)[C@@H]2CSc3ccccc32)C1
16,NC(=O)[C@@H]1CCCN(C(=O)[C@H]2CSc3ccccc32)C1
17,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CSc3ccccc32)C1
18,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3ccccc32)[C@@H]2C[C@@H]21
19,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3ccccc32)[C@@H]2C[C@H]12
20,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3ccccc32)[C@@H]2C[C@@H]21
21,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3ccccc32)[C@@H]2C[C@H]12
22,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3ccccc32)[C@H]2C[C@H]12
23,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3ccccc32)[C@H]2C[C@H]12
24,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3ccccc32)[C@H]2C[C@H]12
25,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3ccccc32)[C@H]2C[C@H]12
26,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3ccccc32)[C@@H]2C[C@H]21
27,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3ccccc32)[C@@H]2C[C@@H]12
28,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3ccccc32)[C@@H]2C[C@H]21
29,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3ccccc32)[C@@H]2C[C@@H]12
30,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3ccccc32)[C@H]2C[C@@H]12
31,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3ccccc32)[C@H]2C[C@@H]12
32,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3ccccc32)[C@H]2C[C@@H]12
33,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3ccccc32)[C@H]2C[C@@H]12
34,CSc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1
35,CSc1ccccc1CC(=O)N1CCC[C@@H](C(N)=O)C1
36,CSc1ccccc1CC(=O)N1C[C@@H]2C[C@H](C1)C(=O)N2
37,CSc1ccccc1CC(=O)N1C[C@H]2C[C@H](C1)C(=O)N2
38,CSc1ccccc1CC(=O)N1C[C@@H]2C[C@@H](C1)C(=O)N2
39,CSc1ccccc1CC(=O)N1C[C@H]2C[C@@H](C1)C(=O)N2
40,CSc1ccccc1CC(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@@H]21
41,CSc1ccccc1CC(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@@H]21
42,CSc1ccccc1CC(=O)N1C[C@H](C(N)=O)[C@H]2C[C@@H]21
