smiles,template,compound_set,hit1
N#Cc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,A3509a,P3_20241211,A3509a
Cc1ccccc1NC(=O)N1CCCC(C(N)=O)C1,A3510a,P3_20241211,A3510a
COCC(=O)Nc1c(Cl)cc(C)cc1OCc1ncccn1,A3522a,P3_20241211,A3522a
COc1ccc(F)cc1CC(=O)N1CCCC(C(N)=O)C1,A3546a,P3_20241211,A3546a
COc1ccncc1CC(=O)N1CCCC(C(N)=O)C1,A3548a,P3_20241211,A3548a
COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,A3550a,P3_20241211,A3550a
COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,A3550b,P3_20241211,A3550b
Cn1cc2c(CC(=O)N3CCC(C(N)=O)C3)cccc2n1,A3556a,P3_20241211,A3556a
COc1ccc(CC(=O)N2CCCC(C(N)=O)C2)c(OC)c1,A3557a,P3_20241211,A3557a
Cc1ccccc1NC(=O)c1cncc(C(N)=O)c1,A3564a,P3_20241211,A3564a
Cc1ccc2c(C(=O)NCCc3cocn3)c[nH]c2c1,A3568a,P3_20241211,A3568a
COc1c(C#N)cccc1CC(=O)N1CCCC(C(N)=O)C1,A3575a,P3_20241211,A3575a
COc1ccccc1CN1CC(C(N)=O)CCC1=O,A3579a,P3_20241211,A3579a
COc1ccccc1CC(=O)N1CCC(C(N)=O)C1,A3581a,P3_20241211,A3581a
Cc1cc(NC(=O)N2CCCC(C(N)=O)C2)c2cnn(C)c2c1,A3585a,P3_20241211,A3585a
COc1cccc(Cl)c1NC(=O)N1CCCC(C(N)=O)C1,A3587a,P3_20241211,A3587a
CC(Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,A3593a,P3_20241211,A3593a
Cn1ncc(-c2cc(Cl)cc(Cl)c2)c1CC(=O)N1CCCC(C(N)=O)C1,A3606a,P3_20241211,A3606a
NC(=O)C1CCCN(C(=O)Nc2ccccc2F)C1,A3612a,P3_20241211,A3612a
Cc1ccccc1CNC(=O)N1CCCC(C(N)=O)C1,A3616a,P3_20241211,A3616a
CCNC(=O)c1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,A3618a,P3_20241211,A3618a
COc1ccccc1CC(=O)N1CC(C)C(C(N)=O)C1,A3634a,P3_20241211,A3634a
COc1ccccc1CC(=O)N1CCOC(C(N)=O)C1,A3663a,P3_20241211,A3663a
COc1ccccc1CC(=O)N1CC(C(N)=O)CC(F)(F)C1,A3665a,P3_20241211,A3665a
COc1ccccc1CC(=O)N1CCC(NC(N)=O)C1,A3685a,P3_20241211,A3685a
COc1ccccc1CC(=O)N1CCC(CC(N)=O)C1,A3694a,P3_20241211,A3694a
COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,A3849a,P3_20241211,A3849a
COc1cccc(Cl)c1CC(=O)N1CCCC(C(N)=O)C1,A3858a,P3_20241211,A3858a
Cc1ccccc1NC(=O)c1ccc(C)c(C(N)=O)c1,A3867a,P3_20241211,A3867a
COc1ccccc1N(C)C(=O)N1CCCC(C(N)=O)C1,A3868a,P3_20241211,A3868a
COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,A3869a,P3_20241211,A3869a
COc1ccccc1C(OC)C(=O)N1CCCC(C(N)=O)C1,A3883a,P3_20241211,A3883a
COc1ccccc1C(NC(=O)OC(C)(C)C)C(=O)N1CCCC(C(N)=O)C1,A3884a,P3_20241211,A3884a
COc1ccccc1C(N)C(=O)N1CCCC(C(N)=O)C1,A3890a,P3_20241211,A3890a
COc1ccccc1CN1CC(C(N)=O)CC1=O,A3895a,P3_20241211,A3895a
COc1ccccc1CC(=O)N1CCNC(C(N)=O)C1,A3901a,P3_20241211,A3901a
Cn1cc2c(CC(=O)N3CCCC(C(N)=O)C3)cccc2n1,A3914a,P3_20241211,A3914a
