smiles, hit1
NC(=O)[C@H]2CCCN(C(=O)Cc1ccccc1)C2,A4386a
O=C(NCCc1cocn1)C3CCc2ccccc23,A3392a
NC(=O)[C@H]2CCCN(C(=O)Cc1ccccn1)C2,A4283a
NC(=O)[C@H]3CCCN(C(=O)[C@H]2CCOc1ccccc12)C3,A4260a
NC(=O)[C@H]2CCCN(C(=O)Cc1ccn[nH]1)C2,A3606a
O=CNc1ccccc1OCc2ncccn2,A3522a
NC(=O)c2cccc(Oc1ccccc1NC=O)c2,A3488a
NC(=O)[C@H]2CCCN(C(=O)Cc1ccccc1)CC2,A4018a
NC(=O)[C@H]2CCCN(C(=O)Cc1ccccc1)C2,A3665a
NC(=O)[C@H]3CCCN(C(=O)[C@H]2CCc1ccccc12)C3,A4202a
NC(=O)[C@H]2CCN(C(=O)Cc1ccccc1)C2,A4317a
NC(=O)[C@H]2CCCN(C(=O)[C@@H](NC(=O)O)c1ccccc1)C2,A3884a
