hippo_id,smiles,inchikey,required_amount_mg,quoted_amount,quote_currency,quote_price,quote_lead_time_days,quote_supplier,quote_catalogue,quote_entry,quoted_smiles,quoted_purity,num_reaction_dependencies,num_product_dependencies,reaction_dependencies,product_dependencies,chemistry_types,scaffold_series
62340,COCC(=O)O,RMIODHQZRUFFFF-UHFFFAOYSA-N,5.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-20233,COCC(=O)O,,5,5,"[60531, 74188, 92435, 98853, 99429]","[73, 76270, 93346, 99880, 100471]",Amidation,"[95, 242, 243, 244]"
62341,NC(=O)C1CCCNC1,BVOCPVIXARZNQN-UHFFFAOYSA-N,2.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-18610,NC(=O)C1CCCNC1,,2,2,"[60531, 60752]","[73, 62614]",Amidation,[73]
253,O=C(O)CCl,FOCAUTSVDIKZOP-UHFFFAOYSA-N,24.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-16767,O=C(O)CCl,,6,6,"[8785, 8788, 60200, 92340, 98664, 98803]","[91, 24075, 24125, 93229, 99640, 99830]",Amidation,"[143, 242, 243]"
18682,Cc1nn(C)c(C)c1CC(=O)NC(CN)c1ccc2ccccc2c1,BXXDYQXEXIEFMJ-UHFFFAOYSA-N,7.0,100.0,EUR,481.0,10,Enamine,Global catalog,EN300-26675841,Cc1nn(C)c(C)c1CC(=O)NC(CN)c1ccc2ccccc2c1.Cl,,7,7,"[18050, 18278, 18372, 60200, 60202, 60205, 60246]","[91, 139, 19136, 19324, 61891, 61894, 61935]",Amidation,"[91, 139]"
61981,CC(CC(=O)O)C(F)(F)F,FFZMMBKGTNDVRX-UHFFFAOYSA-N,2.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-208218,CC(CC(=O)O)C(F)(F)F,,2,2,"[60283, 60366]","[92, 62145]",Amidation,[92]
61982,COc1cc(N)n(C)n1,YFUSJUKJTGCOGP-UHFFFAOYSA-N,3.0,50.0,EUR,227.0,2,Enamine,EU stock,EN300-381018,COc1cc(N)n(C)n1.Cl,,3,3,"[60283, 60298, 60299]","[92, 62012, 62013]",Amidation,[92]
64552,CCI,HVTICUPFWKNHNG-UHFFFAOYSA-N,8.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-18902,CCI,,8,8,"[62565, 62568, 69915, 69918, 69919, 79783, 79791, 79814]","[93, 236, 240, 64559, 71713, 71714, 82236, 82273]",Williamson_ether_synthesis,"[93, 236, 240, 241]"
64553,CCC(=O)c1ccc(O)cc1,RARSHUDCJQSEFJ-UHFFFAOYSA-N,8.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-21481,CCC(=O)c1ccc(O)cc1,,8,8,"[62565, 63236, 63402, 64351, 64677, 88362, 88452, 88676]","[93, 64614, 64623, 64627, 65262, 65434, 66377, 66673]",Williamson_ether_synthesis,"[93, 240, 241]"
18681,NCC(=O)O,DHMQDGOQFOQNFH-UHFFFAOYSA-N,5.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-31218,Cl.NCC(=O)O,,5,5,"[18050, 74170, 92325, 98669, 98777]","[139, 76252, 93206, 99645, 99804]",Amidation,"[95, 242, 243]"
45398,N#CCC(=O)O,MLIREBYILWEBDM-UHFFFAOYSA-N,7.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-19926,N#CCC(=O)O,,7,7,"[43471, 43476, 47240, 74185, 92562, 98819, 99328]","[171, 195, 45407, 76267, 93473, 99846, 100370]",Amidation,"[95, 171, 242, 243, 245]"
45399,NC(=O)c1ccc(N)cn1,CSHTYFRLFVBNHB-UHFFFAOYSA-N,3.0,50.0,EUR,33.0,2,Enamine,EU stock,EN300-109681,NC(=O)c1ccc(N)cn1,,3,3,"[43471, 44049, 44179]","[171, 46086, 46225]",Amidation,[171]
15992,Cc1ccc(C=O)cc1C,POQJHLBMLVTHAU-UHFFFAOYSA-N,2.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-22064,Cc1ccc(C=O)cc1C,,2,2,"[15545, 15614]","[181, 16123]",Reductive_amination,[181]
15993,Nc1ccc(N2CCNC(=O)C2)cn1,LOPKOFPQJWLVOK-UHFFFAOYSA-N,4.0,50.0,EUR,240.0,2,Enamine,EU stock,EN300-175650,Nc1ccc(N2CCNC(=O)C2)cn1,,4,4,"[15545, 15612, 26583, 26704]","[181, 185, 16121, 28177]",Reductive_amination,"[181, 185]"
19836,O=C(O)C1CCNC1=O,HPQCENXKIPSQSA-UHFFFAOYSA-N,2.0,50.0,EUR,78.0,2,Enamine,EU stock,EN300-94945,O=C(O)C1CCNC1=O,,2,2,"[18632, 18742]","[182, 20014]",Amidation,[182]
19837,c1ccc(CNC2CCCNC2)cc1,ONMQJOUYBLBFBI-UHFFFAOYSA-N,2.0,100.0,EUR,136.0,10,Enamine,Global catalog,EN300-43356177,Cl.Cl.c1ccc(CNC2CCCNC2)cc1,,2,2,"[18632, 18671]","[182, 19900]",Amidation,[182]
20503,O=C1NCCN1c1ccc(Br)cc1,IQYIOVFMXOWYEQ-UHFFFAOYSA-N,40.0,100.0,EUR,50.0,10,Enamine,Global catalog,EN300-1270319,O=C1NCCN1c1ccc(Br)cc1,,4,4,"[19078, 19098, 24566, 24592]","[183, 184, 20544, 26013]",Buchwald-Hartwig_amination,"[183, 184]"
20504,NCc1ccc(C(F)(F)F)cc1,PRDBLLIPPDOICK-UHFFFAOYSA-N,30.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-23486,NCc1ccc(C(F)(F)F)cc1,,3,3,"[19078, 19085, 19335]","[183, 20518, 20845]",Buchwald-Hartwig_amination,[183]
25969,NCc1cccc(F)c1,QVSVMNXRLWSNGS-UHFFFAOYSA-N,30.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-33064,NCc1cccc(F)c1,,3,3,"[24566, 24569, 24615]","[184, 25972, 26048]",Buchwald-Hartwig_amination,[184]
28003,CSc1cccc(C=O)c1,XJNCVVVHUWTVCB-UHFFFAOYSA-N,2.0,50.0,EUR,19.0,2,Enamine,EU stock,EN300-194498,CSc1cccc(C=O)c1,,2,2,"[26583, 26628]","[185, 28087]",Reductive_amination,[185]
30521,Cn1nc(C2CCOCC2)cc1C(=O)O,NIVCBAJXLAUGAC-UHFFFAOYSA-N,20.0,100.0,EUR,548.0,10,Enamine,Global catalog,EN300-341043,Cn1nc(C2CCOCC2)cc1C(=O)O,,2,2,"[29002, 29198]","[186, 30785]",Steglich_esterification,[186]
