scaffold_id,product_id,smiles,inchikey,num_elaborations,is_scaffold,num_routes,route_1_num_steps,route_1_reaction_1_type,route_1_reaction_1_product_smiles,route_1_reaction_1_product_id,route_1_reaction_1_product_yield,route_1_reaction_1_reactant_1_smiles,route_1_reaction_1_reactant_1_id,route_1_reaction_1_reactant_2_smiles,route_1_reaction_1_reactant_2_id,route_1_reaction_2_type,route_1_reaction_2_product_smiles,route_1_reaction_2_product_id,route_1_reaction_2_product_yield,route_1_reaction_2_reactant_1_smiles,route_1_reaction_2_reactant_1_id,route_1_reaction_2_reactant_2_smiles,route_1_reaction_2_reactant_2_id,route_1_reaction_3_type,route_1_reaction_3_product_smiles,route_1_reaction_3_product_id,route_1_reaction_3_product_yield,route_1_reaction_3_reactant_1_smiles,route_1_reaction_3_reactant_1_id,route_1_reaction_3_reactant_2_smiles,route_1_reaction_3_reactant_2_id
73,73,COCC(=O)N1CCCC(C(N)=O)C1,VINVRWFILPAKSR-UHFFFAOYSA-N,5,True,1,1,Amidation,COCC(=O)N1CCCC(C(N)=O)C1,73,1.0,COCC(=O)O,62340,NC(=O)C1CCCNC1,62341,,,,,,,,,,,,,,,,
91,91,Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)CCl)c1ccc2ccccc2c1,BKBFLODZEQEWBQ-UHFFFAOYSA-N,2,True,1,1,Amidation,Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)CCl)c1ccc2ccccc2c1,91,1.0,O=C(O)CCl,253,Cc1nn(C)c(C)c1CC(=O)NC(CN)c1ccc2ccccc2c1,18682,,,,,,,,,,,,,,,,
92,92,COc1cc(NC(=O)CC(C)C(F)(F)F)n(C)n1,NZVJBVJDSSUPIL-UHFFFAOYSA-N,2,True,1,1,Amidation,COc1cc(NC(=O)CC(C)C(F)(F)F)n(C)n1,92,1.0,CC(CC(=O)O)C(F)(F)F,61981,COc1cc(N)n(C)n1,61982,,,,,,,,,,,,,,,,
93,93,CCOc1ccc(C(=O)CC)cc1,XZJXCESWBMDSBO-UHFFFAOYSA-N,45,True,1,1,Williamson_ether_synthesis,CCOc1ccc(C(=O)CC)cc1,93,1.0,CCI,64552,CCC(=O)c1ccc(O)cc1,64553,,,,,,,,,,,,,,,,
139,139,Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)CN)c1ccc2ccccc2c1,DQWUNIXDDNPLQU-UHFFFAOYSA-N,4,True,1,1,Amidation,Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)CN)c1ccc2ccccc2c1,139,1.0,NCC(=O)O,18681,Cc1nn(C)c(C)c1CC(=O)NC(CN)c1ccc2ccccc2c1,18682,,,,,,,,,,,,,,,,
171,171,N#CCC(=O)Nc1ccc(C(N)=O)nc1,YOZGXEFFSUYIHZ-UHFFFAOYSA-N,12,True,1,1,Amidation,N#CCC(=O)Nc1ccc(C(N)=O)nc1,171,1.0,N#CCC(=O)O,45398,NC(=O)c1ccc(N)cn1,45399,,,,,,,,,,,,,,,,
181,181,Cc1ccc(CNc2ccc(N3CCNC(=O)C3)cn2)cc1C,AOLHRJZGGWAHNY-UHFFFAOYSA-N,5,True,1,1,Reductive_amination,Cc1ccc(CNc2ccc(N3CCNC(=O)C3)cn2)cc1C,181,1.0,Cc1ccc(C=O)cc1C,15992,Nc1ccc(N2CCNC(=O)C2)cn1,15993,,,,,,,,,,,,,,,,
182,182,O=C1NCCC1C(=O)N1CCCC(NCc2ccccc2)C1,HOWRLYKLFLMWBY-UHFFFAOYSA-N,3,True,1,1,Amidation,O=C1NCCC1C(=O)N1CCCC(NCc2ccccc2)C1,182,1.0,O=C(O)C1CCNC1=O,19836,c1ccc(CNC2CCCNC2)cc1,19837,,,,,,,,,,,,,,,,
183,183,O=C1NCCN1c1ccc(NCc2ccc(C(F)(F)F)cc2)cc1,ZGAPODHVEGIIKR-UHFFFAOYSA-N,4,True,1,1,Buchwald-Hartwig_amination,O=C1NCCN1c1ccc(NCc2ccc(C(F)(F)F)cc2)cc1,183,0.1,O=C1NCCN1c1ccc(Br)cc1,20503,NCc1ccc(C(F)(F)F)cc1,20504,,,,,,,,,,,,,,,,
184,184,O=C1NCCN1c1ccc(NCc2cccc(F)c2)cc1,KKHICEOOLIHEJQ-UHFFFAOYSA-N,5,True,1,1,Buchwald-Hartwig_amination,O=C1NCCN1c1ccc(NCc2cccc(F)c2)cc1,184,0.1,O=C1NCCN1c1ccc(Br)cc1,20503,NCc1cccc(F)c1,25969,,,,,,,,,,,,,,,,
185,185,CSc1cccc(CNc2ccc(N3CCNC(=O)C3)cn2)c1,AKBIFIUVGFTRED-UHFFFAOYSA-N,3,True,1,1,Reductive_amination,CSc1cccc(CNc2ccc(N3CCNC(=O)C3)cn2)c1,185,1.0,Nc1ccc(N2CCNC(=O)C2)cn1,15993,CSc1cccc(C=O)c1,28003,,,,,,,,,,,,,,,,
186,186,Cn1nc(C2CCOCC2)cc1C(=O)OCC1CNC(=O)C1,VGTICCPOHXQQKL-UHFFFAOYSA-N,2,True,1,1,Steglich_esterification,Cn1nc(C2CCOCC2)cc1C(=O)OCC1CNC(=O)C1,186,0.1,Cn1nc(C2CCOCC2)cc1C(=O)O,30521,O=C1CC(CO)CN1,30522,,,,,,,,,,,,,,,,
