hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,route_ids,chemistry_types,is_scaffold,scaffold_series,inspirations
93,CCOc1ccc(C(=O)CC)cc1,XZJXCESWBMDSBO-UHFFFAOYSA-N,1,5,"{141617, 118, 118487, 217, 150911}","['template: A1775a', 'Syndirella scaffold', 'covalent_analogues_aug_2024', 'hits']",1,{1},[85648],"{64553, 87346}",[5],Williamson_ether_synthesis,False,"[240, 241]",A1775a
236,CCOc1ccc(C(=O)CCl)cc1,ZYLJLWLQPBRDLN-UHFFFAOYSA-N,1,4,"{127321, 150946, 221, 141609}","['template: A1775a', 'Syndirella scaffold', 'covalent_analogues_aug_2024']",1,{1},[85683],"{87346, 71708}",[57],Williamson_ether_synthesis,False,"[240, 241]",A1775a
240,CCOc1ccc(C(C)=O)cc1,YJFNFQHMQJCPRG-UHFFFAOYSA-N,1,3,"{150492, 227, 141580}","['template: A1775a', 'Syndirella scaffold', 'covalent_analogues_aug_2024']",1,{1},[85247],"{82226, 87346}",[61],Williamson_ether_synthesis,False,[241],A1775a
242,CC(=O)Nc1ccc(C(C)=O)cc1,WECHHDJTILFYQT-UHFFFAOYSA-N,1,3,"{158705, 167354, 229}","['Syndirella scaffold', 'covalent_analogues_aug_2024', 'template: A1776a']",1,{1},[92314],"{93187, 71591}",[63],Amidation,False,[243],A1776a
243,CC(=O)Nc1ccc(C=O)cc1,SKLUWKYNZNXSLX-UHFFFAOYSA-N,1,2,"{230, 167343}","['Syndirella scaffold', 'covalent_analogues_aug_2024', 'template: A1776a']",1,{1},[98647],"{99613, 71591}",[64],Amidation,True,[243],A1776a
64567,CCOc1ccc(C(=O)CC)cc1Cl,ZYHPIBXHGSZGKQ-UHFFFAOYSA-N,1,2,"{142032, 118494}",[],1,{1},[62572],"{64552, 64566}",[83073],Williamson_ether_synthesis,False,"[93, 240]",A1775a
64589,O=C1CCc2cc(OCCCl)ccc21,PPUYXFRSZWNWAM-UHFFFAOYSA-N,1,3,"{142048, 118506, 153686}",[],1,{1},[62583],"{64585, 64588}",[83088],Williamson_ether_synthesis,False,"[93, 240, 241]",A1775a
64590,CCC(=O)c1ccc(OCCCl)cc1,VILHJYWZPMKMMF-UHFFFAOYSA-N,1,3,"{118507, 153653, 142078}",[],1,{1},[62585],"{64553, 64588}",[83090],Williamson_ether_synthesis,False,"[93, 240, 241]",A1775a
64592,CCC(=O)c1ccc(OCC=O)cc1,KKIXEWGIOYISMC-UHFFFAOYSA-N,1,3,"{153753, 141754, 118508}",[],1,{1},[62587],"{64553, 64591}",[83092],Williamson_ether_synthesis,False,"[93, 240, 241]",A1775a
64593,O=CCOc1ccc2c(c1)CCC2=O,PQQSNMCRSFPZML-UHFFFAOYSA-N,1,3,"{141763, 153596, 118509}",[],1,{1},[62588],"{64585, 64591}",[83094],Williamson_ether_synthesis,False,"[93, 240, 241]",A1775a
64598,CCC(=O)c1ccc(OCCBr)cc1,IADFYSLRLWUKCF-UHFFFAOYSA-N,1,3,"{118512, 151400, 141870}",[],1,{1},[62592],"{64553, 64597}",[83100],Williamson_ether_synthesis,False,"[93, 240, 241]",A1775a
64611,N#CCOc1ccc2c(c1)CCC2=O,JLHLVJUOFGCEEV-UHFFFAOYSA-N,1,3,"{155008, 118521, 141804}",[],1,{1},[62599],"{64585, 64610}",[83109],Williamson_ether_synthesis,False,"[93, 240, 241]",A1775a
64612,CCC(=O)c1ccc(OCC#N)cc1,IAUVXBJEUVGIEF-UHFFFAOYSA-N,1,3,"{154736, 118522, 141835}",[],1,{1},[62600],"{64553, 64610}",[83111],Williamson_ether_synthesis,False,"[93, 240, 241]",A1775a
64617,CCC(=O)c1ccc(OCCF)cc1,YVYVGHPVNHHVFQ-UHFFFAOYSA-N,1,3,"{141792, 118525, 153312}",[],1,{1},[87636],"{64553, 87353}",[83118],Williamson_ether_synthesis,False,"[93, 240, 241]",A1775a
64618,O=C1CCc2cc(OCCF)ccc21,LCOVGPXTXTWUSS-UHFFFAOYSA-N,1,3,"{153395, 118526, 141783}",[],1,{1},[87719],"{64585, 87353}",[83120],Williamson_ether_synthesis,False,"[93, 240, 241]",A1775a
64654,O=C1CCc2cc(OCCBr)ccc21,GQHAVAKLVAASDI-UHFFFAOYSA-N,1,3,"{141645, 118549, 153396}",[],1,{1},[62627],"{64585, 64597}",[83148],Williamson_ether_synthesis,False,"[93, 240, 241]",A1775a
64791,CCCCOc1ccc(C(=O)CC)cc1,DGRPJRSRLYATME-UHFFFAOYSA-N,1,2,"{118688, 142142}",[],1,{1},[62756],"{64553, 64790}",[83321],Williamson_ether_synthesis,False,"[93, 240]",A1775a
64792,CCCCOc1ccc2c(c1)CCC2=O,WZRMYAHHIGSNNQ-UHFFFAOYSA-N,1,2,"{118689, 142279}",[],1,{1},[62757],"{64585, 64790}",[83322],Williamson_ether_synthesis,False,"[93, 240]",A1775a
64992,CCC(=O)c1ccc(OCCCN)cc1,SCHFMXGOAQZALY-UHFFFAOYSA-N,1,2,"{142268, 118895}",[],1,{1},[62972],"{64553, 64991}",[83547],Williamson_ether_synthesis,False,"[93, 240]",A1775a
64993,NCCCOc1ccc2c(c1)CCC2=O,UVXOHAHAHIQJCK-UHFFFAOYSA-N,1,2,"{118896, 142718}",[],1,{1},[62973],"{64585, 64991}",[83548],Williamson_ether_synthesis,False,"[93, 240]",A1775a
65002,C=C(CI)Oc1ccc2c(c1)CCC2=O,APUDIGAMSCIXOS-UHFFFAOYSA-N,1,3,"{142226, 118902, 156314}",[],1,{1},[62979],"{65000, 64585}",[83555],Williamson_ether_synthesis,False,"[93, 240, 241]",A1775a
65004,C=C(CI)Oc1ccc(C(=O)CC)cc1,UUUVWGOVAKXESA-UHFFFAOYSA-N,1,3,"{118904, 142195, 157021}",[],1,{1},[62981],"{65000, 64553}",[83559],Williamson_ether_synthesis,False,"[93, 240, 241]",A1775a
65035,CCC(=O)c1ccc(OCCF)c(Cl)c1,RMHYOGPORBRAIA-UHFFFAOYSA-N,1,2,"{143764, 118935}",[],1,{1},[63018],"{64616, 64566}",[83591],Williamson_ether_synthesis,False,"[93, 240]",A1775a
65105,CCOc1ccc2c(c1)CCCCC2=O,ZTEZREHSTRFDJW-UHFFFAOYSA-N,1,1,{119004},[],1,{1},[63070],"{64552, 65104}",[83642],Williamson_ether_synthesis,False,[93],A1775a
65122,C=C(Br)COc1ccc2c(c1)CCC2=O,WBPLFSNMUNEPOM-UHFFFAOYSA-N,1,3,"{156313, 119018, 142181}",[],1,{1},[63081],"{64585, 65121}",[83653],Williamson_ether_synthesis,False,"[93, 240, 241]",A1775a
65154,CCC(=O)c1ccc(OCCC#N)cc1,XQDZYPLXSFLOTR-UHFFFAOYSA-N,1,2,"{142533, 119045}",[],1,{1},[63115],"{64553, 65153}",[83674],Williamson_ether_synthesis,False,"[93, 240]",A1775a
65155,N#CCCOc1ccc2c(c1)CCC2=O,TXBBTQALJLEGAY-UHFFFAOYSA-N,1,2,"{142589, 119046}",[],1,{1},[63116],"{64585, 65153}",[83675],Williamson_ether_synthesis,False,"[93, 240]",A1775a
65159,C=C(Br)COc1ccc(C(=O)CC)cc1,JOAPCGPLMHJWPM-UHFFFAOYSA-N,1,3,"{119051, 157020, 142222}",[],1,{1},[63125],"{64553, 65121}",[83678],Williamson_ether_synthesis,False,"[93, 240, 241]",A1775a
65270,CC=CCOc1ccc2c(c1)CCC2=O,IDXYNZFOHIINLD-UHFFFAOYSA-N,1,2,"{142636, 119174}",[],1,{1},[63241],"{64585, 65269}",[83779],Williamson_ether_synthesis,False,"[93, 240]",A1775a
65271,CC=CCOc1ccc(C(=O)CC)cc1,SYCMVRGLLWKSRO-UHFFFAOYSA-N,1,2,"{142397, 119175}",[],1,{1},[63242],"{64553, 65269}",[83780],Williamson_ether_synthesis,False,"[93, 240]",A1775a
65303,C#CCCOc1ccc(C(=O)CC)cc1,UIXDKHFKLRITRK-UHFFFAOYSA-N,1,2,"{119209, 142121}",[],1,{1},[63273],"{64553, 65302}",[83811],Williamson_ether_synthesis,False,"[93, 240]",A1775a
65304,C#CCCOc1ccc2c(c1)CCC2=O,VRGYAGVGWCBZQO-UHFFFAOYSA-N,1,2,"{142168, 119210}",[],1,{1},[63274],"{64585, 65302}",[83812],Williamson_ether_synthesis,False,"[93, 240]",A1775a
65637,C#CCCOc1ccc(C(=O)CC)cc1Cl,VJSAKTCBEOAPDE-UHFFFAOYSA-N,1,2,"{119634, 149045}",[],1,{1},[63603],"{64566, 65302}",[84140],Williamson_ether_synthesis,False,"[93, 240]",A1775a
65780,CCC(=O)c1ccc(OCCC#N)c(Cl)c1,GUVVSYAISZTTOF-UHFFFAOYSA-N,1,2,"{148552, 119813}",[],1,{1},[63745],"{65153, 64566}",[84282],Williamson_ether_synthesis,False,"[93, 240]",A1775a
65879,CCC(=O)c1ccc(OCCCN)c(Cl)c1,GRHYVZGXRSPKJK-UHFFFAOYSA-N,1,2,"{119925, 148231}",[],1,{1},[63843],"{64566, 64991}",[84380],Williamson_ether_synthesis,False,"[93, 240]",A1775a
65989,CCCCOc1ccc(C(=O)CC)cc1Cl,JDMSKNIUSWKSGI-UHFFFAOYSA-N,1,2,"{147701, 120070}",[],1,{1},[63951],"{64566, 64790}",[84488],Williamson_ether_synthesis,False,"[93, 240]",A1775a
66195,C=C(CI)Oc1ccc(C(=O)CC)cc1Cl,KQUSDPDOLYGIEG-UHFFFAOYSA-N,1,2,"{145001, 120298}",[],1,{1},[64155],"{65000, 64566}",[84735],Williamson_ether_synthesis,False,"[93, 240]",A1775a
66305,C=C(Br)COc1ccc(C(=O)CC)cc1Cl,LFFDOAUEQOYWAZ-UHFFFAOYSA-N,1,2,"{120416, 146542}",[],1,{1},[64271],"{65121, 64566}",[84902],Williamson_ether_synthesis,False,"[93, 240]",A1775a
66379,CCC(=O)c1ccc(OCCCOC)cc1,VHBPFCUOFQAYGZ-UHFFFAOYSA-N,1,2,"{120488, 146776}",[],1,{1},[64352],"{64553, 66378}",[84962],Williamson_ether_synthesis,False,"[93, 240]",A1775a
66380,COCCCOc1ccc2c(c1)CCC2=O,GYIZZRKRFWRSLL-UHFFFAOYSA-N,1,2,"{120489, 146626}",[],1,{1},[64353],"{64585, 66378}",[84963],Williamson_ether_synthesis,False,"[93, 240]",A1775a
67125,CC=CCOc1ccc(C(=O)CC)cc1Cl,HMLNSEKCFWROJB-UHFFFAOYSA-N,1,2,"{121475, 149220}",[],1,{1},[65128],"{65269, 64566}",[85703],Williamson_ether_synthesis,False,"[93, 240]",A1775a
67318,O=C1CCCCc2cc(OCCF)ccc21,RKWMGFJNNMNMEY-UHFFFAOYSA-N,1,1,{121687},[],1,{1},[65330],"{64616, 65104}",[85927],Williamson_ether_synthesis,False,[93],A1775a
67789,C=C(CI)Oc1ccc2c(c1)CCCCC2=O,NNHVJICKBQAWMO-UHFFFAOYSA-N,1,1,{122233},[],1,{1},[65871],"{65000, 65104}",[86417],Williamson_ether_synthesis,False,[93],A1775a
68702,C=C(Br)COc1ccc2c(c1)CCCCC2=O,MPNXBQXTGQPNLL-UHFFFAOYSA-N,1,1,{123424},[],1,{1},[66810],"{65104, 65121}",[87433],Williamson_ether_synthesis,False,[93],A1775a
68874,CCC(=O)c1ccc(OCCCOC)c(Cl)c1,PSPXCHCWXHFSMV-UHFFFAOYSA-N,1,1,{123665},[],1,{1},[66991],"{66378, 64566}",[87605],Williamson_ether_synthesis,False,[93],A1775a
