hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,route_ids,chemistry_types,is_scaffold,scaffold_series,inspirations
73,COCC(=O)N1CCCC(C(N)=O)C1,VINVRWFILPAKSR-UHFFFAOYSA-N,1,4,"{216, 110209, 91, 110208}","['Syndirella scaffold', 'template: A0926a', 'hits', 'exact_hits_aug_2024']",1,{1},[60531],"{62340, 62341}",[1],Amidation,True,[73],A0926a
91,Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)CCl)c1ccc2ccccc2c1,BKBFLODZEQEWBQ-UHFFFAOYSA-N,1,4,"{115, 109262, 109261, 214}","['Syndirella scaffold', 'hits', 'template: A1346a', 'exact_hits_aug_2024']",1,{1},[60200],"{18682, 253}",[2],Amidation,True,[91],A1346a
92,COc1cc(NC(=O)CC(C)C(F)(F)F)n(C)n1,NZVJBVJDSSUPIL-UHFFFAOYSA-N,1,5,"{109577, 109578, 116, 117, 215}","['Syndirella scaffold', 'hits', 'template: A1445a', 'exact_hits_aug_2024']",1,{1},[60283],"{61981, 61982}",[3],Amidation,True,[92],A1445a
93,CCOc1ccc(C(=O)CC)cc1,XZJXCESWBMDSBO-UHFFFAOYSA-N,1,5,"{141617, 118, 118487, 217, 150911}","['Syndirella scaffold', 'template: A1775a', 'hits', 'covalent_analogues_aug_2024']",1,{1},[62565],"{64552, 64553}",[4],Williamson_ether_synthesis,False,"[240, 241]",A1775a
139,Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)CN)c1ccc2ccccc2c1,DQWUNIXDDNPLQU-UHFFFAOYSA-N,1,3,"{168, 31134, 31135}","['Syndirella scaffold', 'template: A1346a', 'x1346_manual_analogues_aug_2024']",1,{1},[18050],"{18681, 18682}",[13],Amidation,True,[139],A1346a
171,N#CCC(=O)Nc1ccc(C(N)=O)nc1,YOZGXEFFSUYIHZ-UHFFFAOYSA-N,1,2,"{78820, 197}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[43471],"{45398, 45399}",[35],Amidation,True,[171],"A0556a, A0310a"
181,Cc1ccc(CNc2ccc(N3CCNC(=O)C3)cn2)cc1C,AOLHRJZGGWAHNY-UHFFFAOYSA-N,1,2,"{235, 26579}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[15545],"{15992, 15993}",[36],Reductive_amination,True,[181],"A0528a, A0365a"
182,O=C1NCCC1C(=O)N1CCCC(NCc2ccccc2)C1,HOWRLYKLFLMWBY-UHFFFAOYSA-N,1,6,"{236, 237, 238, 32879, 239, 32880}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[18632],"{19836, 19837}",[37],Amidation,True,[182],"A0528a, A0365a"
183,O=C1NCCN1c1ccc(NCc2ccc(C(F)(F)F)cc2)cc1,ZGAPODHVEGIIKR-UHFFFAOYSA-N,1,2,"{240, 35592}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[19078],"{20504, 20503}",[38],Buchwald-Hartwig_amination,True,[183],"A0528a, A0365a"
184,O=C1NCCN1c1ccc(NCc2cccc(F)c2)cc1,KKHICEOOLIHEJQ-UHFFFAOYSA-N,1,2,"{241, 46157}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[24566],"{25969, 20503}",[39],Buchwald-Hartwig_amination,True,[184],"A0528a, A0365a"
185,CSc1cccc(CNc2ccc(N3CCNC(=O)C3)cn2)c1,AKBIFIUVGFTRED-UHFFFAOYSA-N,1,2,"{242, 48855}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[26583],"{15993, 28003}",[40],Reductive_amination,True,[185],"A0528a, A0365a"
186,Cn1nc(C2CCOCC2)cc1C(=O)OCC1CNC(=O)C1,VGTICCPOHXQQKL-UHFFFAOYSA-N,1,2,"{243, 244}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[29002],"{30521, 30522}",[41],Steglich_esterification,True,[186],"A0528a, A0365a"
187,NCc1ccc(C(=O)Nc2c[nH]c3ccccc23)cc1,XTQDUNSPBPDCKJ-UHFFFAOYSA-N,1,2,"{245, 62373}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[33427],"{34852, 34853}",[42],Amidation,True,[187],"A0566a, A0365a"
191,COc1cncc(CCC(=O)NC2CCNC2=O)c1,UMHURAQUKMFEOS-UHFFFAOYSA-N,1,2,"{246, 247}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[40386],"{42009, 42010}",[43],Amidation,True,[191],"A0515a, A0528a"
192,O=C(OCC1CCCNC1=O)c1ccncc1F,NKHJVGNWKQVXFO-UHFFFAOYSA-N,1,2,"{248, 75020}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[41665],"{43441, 43442}",[44],Steglich_esterification,True,[192],"A0515a, A0528a"
194,CCC1CC(NC(=O)c2ccc(NC(=O)C(C)(C)C)nc2)C1,MEWGRUZWHVKYDS-UHFFFAOYSA-N,1,2,"{251, 102019}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[57681],"{59145, 52450}",[45],Amidation,True,[194],"A0556a, A0310a"
195,CCOC(=O)c1cc(NC(=O)CC#N)n(C)n1,AJVIKZPIPBHAKY-UHFFFAOYSA-N,1,2,"{252, 85157}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[47240],"{49345, 45398}",[46],Amidation,True,[195],"A0556a, A0310a"
196,CC(C)(C)C(=O)Nc1ccc(C(=O)NC2(C(F)F)CCC2)cn1,FLWASAJBVPBCFC-UHFFFAOYSA-N,1,2,"{91132, 253}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[50255],"{52450, 52451}",[47],Amidation,True,[196],"A0556a, A0310a"
197,CCCC(=O)NC1CCN(C(=O)NC2CC(CC#N)C2)CC1,ADKGLDCQLGUTAN-UHFFFAOYSA-N,1,2,"{105218, 254}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[59178],"{60731, 59381}",[48],Formation_of_urea_from_two_amines,True,[197],"A0556a, A0310a"
198,NC(=O)c1cc(NC(=O)C23CCC(CO2)C3)[nH]n1,IXJHDOWQFHNIPX-UHFFFAOYSA-N,1,2,"{256, 255}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[112275],"{113536, 113535}",[49],Amidation,True,[198],"A0528a, A0556a"
199,O=C(NC1CC(C(F)(F)F)C1)c1cc2ccsc2[nH]1,VKQJXGLAYUFNNG-UHFFFAOYSA-N,1,2,"{257, 182468}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[107151],"{108217, 108218}",[50],Amidation,True,[199],"A0556a, A0566a"
204,CC1(NC(=O)Nc2ccccc2CS(N)(=O)=O)CCC1,QCDPODCBNROZRQ-UHFFFAOYSA-N,1,2,"{134066, 258}","['Syndirella scaffold', 'knitwork_june_2024', 'template: A0310a']",1,{1},[74339],"{76421, 76422}",[52],Formation_of_urea_from_two_amines,True,[204],"A0719a, A0884a"
