hippo_id,smiles,inchikey,required_amount_mg,quoted_amount,quote_currency,quote_price,quote_lead_time_days,quote_supplier,quote_catalogue,quote_entry,quoted_smiles,quoted_purity,num_reaction_dependencies,num_product_dependencies,reaction_dependencies,product_dependencies,chemistry_types,scaffold_series
62340,COCC(=O)O,RMIODHQZRUFFFF-UHFFFAOYSA-N,10.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-20233,COCC(=O)O,,10,10,"[60531, 60566, 74188, 92435, 93016, 94595, 98853, 103372, 103382, 105914]","[73, 62401, 76270, 93346, 93952, 95547, 99880, 104415, 104425, 106976]",Amidation,"[73, 95, 242, 243, 244, 245]"
62341,NC(=O)C1CCCNC1,BVOCPVIXARZNQN-UHFFFAOYSA-N,3.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-18610,NC(=O)C1CCCNC1,,3,3,"[60531, 60750, 60752]","[73, 62611, 62614]",Amidation,[73]
253,O=C(O)CCl,FOCAUTSVDIKZOP-UHFFFAOYSA-N,48.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-16767,O=C(O)CCl,,10,12,"[8785, 8788, 60200, 92340, 92511, 93762, 98664, 99724, 99725, 105237]","[91, 24075, 24082, 24124, 24125, 93229, 93422, 94698, 99640, 100766, 100767, 106294]",Amidation,"[143, 242, 243, 245]"
18682,Cc1nn(C)c(C)c1CC(=O)NC(CN)c1ccc2ccccc2c1,BXXDYQXEXIEFMJ-UHFFFAOYSA-N,8.0,100.0,EUR,481.0,10,Enamine,Global catalog,EN300-26675841,Cc1nn(C)c(C)c1CC(=O)NC(CN)c1ccc2ccccc2c1.Cl,,8,8,"[18050, 18051, 18060, 18185, 18593, 60200, 60202, 60242]","[91, 139, 18683, 18701, 18951, 19759, 61891, 61931]",Amidation,"[91, 139]"
61981,CC(CC(=O)O)C(F)(F)F,FFZMMBKGTNDVRX-UHFFFAOYSA-N,1.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-208218,CC(CC(=O)O)C(F)(F)F,,1,1,[60283],[92],Amidation,[92]
61982,COc1cc(N)n(C)n1,YFUSJUKJTGCOGP-UHFFFAOYSA-N,3.0,50.0,EUR,227.0,2,Enamine,EU stock,EN300-381018,COc1cc(N)n(C)n1.Cl,,3,3,"[60283, 60298, 60299]","[92, 62012, 62013]",Amidation,[92]
64552,CCI,HVTICUPFWKNHNG-UHFFFAOYSA-N,13.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-18902,CCI,,13,13,"[62565, 62572, 63070, 69915, 69918, 69919, 69920, 69921, 79783, 79803, 79805, 79814, 80153]","[93, 236, 240, 64567, 65105, 71713, 71714, 71716, 71717, 82252, 82256, 82273, 82618]",Williamson_ether_synthesis,"[93, 236, 240, 241]"
64553,CCC(=O)c1ccc(O)cc1,RARSHUDCJQSEFJ-UHFFFAOYSA-N,14.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-21481,CCC(=O)c1ccc(O)cc1,,14,14,"[62565, 62603, 62756, 62972, 63084, 63115, 63125, 63242, 63273, 64352, 88010, 88012, 88141, 89064]","[93, 64590, 64592, 64598, 64612, 64617, 64791, 64992, 65004, 65154, 65159, 65271, 65303, 66379]",Williamson_ether_synthesis,"[93, 240, 241]"
18681,NCC(=O)O,DHMQDGOQFOQNFH-UHFFFAOYSA-N,9.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-31218,Cl.NCC(=O)O,,9,9,"[18050, 74170, 92325, 92448, 93734, 98669, 99841, 99851, 105365]","[139, 76252, 93206, 93359, 94670, 99645, 100883, 100893, 106424]",Amidation,"[95, 242, 243, 245]"
45398,N#CCC(=O)O,MLIREBYILWEBDM-UHFFFAOYSA-N,13.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-19926,N#CCC(=O)O,,13,13,"[43471, 43699, 43714, 47240, 47249, 74185, 92562, 92801, 93955, 98819, 103500, 103501, 105996]","[171, 195, 45695, 45724, 49357, 76267, 93473, 93736, 94891, 99846, 104542, 104543, 107058]",Amidation,"[95, 171, 195, 242, 243, 245]"
45399,NC(=O)c1ccc(N)cn1,CSHTYFRLFVBNHB-UHFFFAOYSA-N,5.0,50.0,EUR,33.0,2,Enamine,EU stock,EN300-109681,NC(=O)c1ccc(N)cn1,,5,5,"[43471, 43479, 43631, 44049, 45287]","[171, 45413, 45600, 46086, 47382]",Amidation,[171]
15992,Cc1ccc(C=O)cc1C,POQJHLBMLVTHAU-UHFFFAOYSA-N,2.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-22064,Cc1ccc(C=O)cc1C,,2,2,"[15545, 15614]","[181, 16123]",Reductive_amination,[181]
